Gene.symbol,adj.P.Val,P.Value,logFC
ATF5,1,8.34E-01,4.81E-03
SDF4,1,8.34E-01,3.59E-02
LOC221272,1,8.34E-01,-2.88E-02
RNF38,1,8.34E-01,-1.17E-02
HMGA2,1,8.34E-01,1.46E-04
ATP13A3,1,8.34E-01,6.08E-02
CCDC102A,1,8.34E-01,1.48E-04
MRPL43,1,8.35E-01,-7.80E-02
CDC42SE1,1,8.35E-01,5.98E-02
SV2C,1,8.35E-01,1.54E-04
POLR2C,1,8.35E-01,-4.36E-03
ATP11B,1,8.35E-01,6.97E-02
LINC00671,1,8.35E-01,1.54E-04
ZNF189,1,8.35E-01,3.05E-02
KMT2A,1,8.35E-01,1.54E-04
AP1S1,1,8.35E-01,-4.18E-02
MORF4L2-AS1,1,8.35E-01,3.08E-03
GTF2H3,1,8.35E-01,3.30E-02
,1,8.35E-01,-2.13E-02
KMT2C,1,8.35E-01,1.53E-04
H2AFY,1,8.35E-01,1.53E-04
HOXA11,1,8.35E-01,-5.53E-02
C21orf2,1,8.35E-01,1.75E-02
C21orf62,1,8.35E-01,-4.27E-03
C1orf27,1,8.35E-01,-3.54E-02
LOC105377938,1,8.35E-01,1.53E-04
CDK15,1,8.35E-01,-3.59E-02
CTAGE5,1,8.35E-01,3.90E-02
PEX16,1,8.35E-01,-3.91E-02
MRPS35,1,8.35E-01,5.75E-02
GPATCH2L,1,8.35E-01,-3.08E-02
CNNM2,1,8.35E-01,2.03E-02
C11orf80,1,8.35E-01,9.26E-02
EDN3,1,8.35E-01,4.08E-03
LOC389831,1,8.35E-01,3.65E-02
,1,8.35E-01,1.53E-04
EFNB3,1,8.35E-01,7.83E-02
PMS2P9///PMS2P6///LOC441259///PMS2P5///PMS2P4///PMS2P1,1,8.35E-01,5.15E-02
LINC00982,1,8.35E-01,8.38E-03
LOC730268///ANAPC1,1,8.35E-01,3.57E-02
GIF,1,8.35E-01,-1.02E-02
,1,8.35E-01,-8.44E-03
,1,8.35E-01,6.27E-03
LOC284788,1,8.36E-01,1.52E-04
ROMO1,1,8.36E-01,3.50E-02
SEPT7P9,1,8.36E-01,-1.94E-03
RAB22A,1,8.36E-01,-6.12E-02
TBRG1,1,8.36E-01,-1.72E-02
RPS16P5,1,8.36E-01,4.54E-02
RYK,1,8.36E-01,6.59E-02
NOTCH2NL,1,8.36E-01,6.13E-02
UBE2F,1,8.36E-01,2.30E-02
TMLHE,1,8.36E-01,-4.67E-02
PIH1D1,1,8.36E-01,3.21E-02
CHMP2B,1,8.36E-01,-5.79E-02
WDR37,1,8.36E-01,2.97E-02
ANKRD27,1,8.36E-01,3.82E-02
,1,8.36E-01,-3.53E-02
,1,8.36E-01,-1.72E-02
WSB1,1,8.36E-01,3.92E-02
COLGALT2,1,8.36E-01,5.01E-02
,1,8.36E-01,-3.66E-02
POLQ,1,8.36E-01,-7.52E-02
T,1,8.36E-01,1.27E-02
,1,8.36E-01,1.52E-04
FRMD7,1,8.36E-01,1.52E-04
,1,8.36E-01,6.49E-04
,1,8.36E-01,3.15E-02
SH3PXD2A,1,8.36E-01,-7.10E-02
RNASEH2B,1,8.36E-01,1.51E-04
DAAM1,1,8.36E-01,-1.01E-01
ENTHD1,1,8.36E-01,1.51E-04
HMBOX1,1,8.36E-01,-1.67E-02
ATM,1,8.36E-01,-4.78E-02
,1,8.36E-01,1.34E-02
SPOPL,1,8.36E-01,-5.02E-02
C4orf48,1,8.36E-01,5.95E-02
,1,8.37E-01,-8.56E-02
AEBP2,1,8.37E-01,-3.18E-02
ESRRB,1,8.37E-01,1.51E-04
EPO,1,8.37E-01,4.05E-03
GRSF1,1,8.37E-01,-1.40E-02
SPATA21,1,8.37E-01,9.19E-03
,1,8.37E-01,-5.54E-02
COX15,1,8.37E-01,3.54E-02
PPP2R2C,1,8.37E-01,1.51E-04
LBX2-AS1,1,8.37E-01,-3.14E-02
HECTD1,1,8.37E-01,4.77E-02
,1,8.37E-01,2.18E-02
,1,8.37E-01,3.97E-02
CRTC3,1,8.37E-01,-3.88E-02
UXT,1,8.37E-01,4.58E-02
DCDC2,1,8.37E-01,1.51E-04
LOC100506406,1,8.37E-01,-1.87E-02
FAM111A,1,8.37E-01,-4.87E-02
FGFR2,1,8.37E-01,-1.09E-01
THPO,1,8.37E-01,1.49E-04
ALCAM,1,8.37E-01,-9.26E-02
HERPUD2,1,8.37E-01,-8.67E-02
RFX3,1,8.37E-01,-7.14E-02
,1,8.37E-01,2.74E-02
WDFY3-AS2,1,8.37E-01,1.28E-03
LAMTOR3,1,8.37E-01,4.78E-02
ZFY,1,8.37E-01,2.18E-02
LOC102724312,1,8.37E-01,3.97E-02
LOC101060363///PPIA,1,8.37E-01,1.70E-02
RSL1D1,1,8.37E-01,4.09E-02
,1,8.37E-01,1.15E-03
LINC00960,1,8.38E-01,-4.11E-02
ARHGEF10,1,8.38E-01,-9.87E-03
ELP3,1,8.38E-01,3.91E-02
,1,8.38E-01,1.50E-04
LRP2BP,1,8.38E-01,-6.05E-03
FUZ,1,8.38E-01,2.93E-02
KATNBL1,1,8.38E-01,3.95E-02
AP3B1,1,8.38E-01,2.91E-02
S100A7A,1,8.38E-01,2.86E-02
HNRNPDL,1,8.38E-01,-7.36E-03
CAPZB,1,8.38E-01,2.86E-02
,1,8.38E-01,1.50E-04
HUS1B,1,8.38E-01,-8.56E-03
PRKCSH,1,8.38E-01,-5.53E-02
TTC3P1///TTC3,1,8.38E-01,-5.82E-02
LOC285627,1,8.38E-01,1.50E-04
LRRC75B,1,8.38E-01,5.50E-03
LOC388942,1,8.38E-01,-6.87E-03
MAPK11,1,8.38E-01,2.67E-02
ADCK2,1,8.38E-01,4.73E-02
RRP12,1,8.38E-01,2.80E-02
BCKDHA,1,8.38E-01,5.10E-02
SLC4A4,1,8.38E-01,2.42E-02
RP9,1,8.38E-01,-3.57E-02
ZNF764,1,8.38E-01,4.69E-02
EPC2,1,8.38E-01,-3.91E-02
DST,1,8.38E-01,-1.93E-01
TPCN1,1,8.38E-01,-3.13E-02
GLRA3,1,8.38E-01,-2.86E-03
,1,8.38E-01,1.49E-04
SLC25A37,1,8.38E-01,1.49E-04
HEXA,1,8.38E-01,4.52E-02
GOSR1,1,8.38E-01,4.17E-02
RAB3A,1,8.38E-01,-2.43E-02
WBP4,1,8.38E-01,4.90E-02
,1,8.39E-01,1.49E-04
MYH14,1,8.39E-01,8.76E-03
,1,8.39E-01,1.04E-02
DNAJC10,1,8.39E-01,7.77E-02
LPCAT2,1,8.39E-01,-1.04E-01
,1,8.39E-01,-7.15E-02
CADM1,1,8.39E-01,9.40E-02
FLII,1,8.39E-01,-5.06E-02
PTCD2,1,8.39E-01,-1.90E-02
COL26A1,1,8.39E-01,3.88E-02
,1,8.39E-01,-8.72E-04
KCTD1,1,8.39E-01,5.62E-02
,1,8.39E-01,3.21E-03
TMEM37,1,8.39E-01,1.48E-04
TCP11L2,1,8.39E-01,5.02E-03
,1,8.39E-01,-2.12E-03
,1,8.39E-01,1.48E-04
SDAD1,1,8.39E-01,-4.97E-02
KIAA1161,1,8.39E-01,2.17E-02
RANBP1,1,8.39E-01,-6.98E-03
FAAP24,1,8.39E-01,1.20E-02
MAD2L1BP,1,8.39E-01,8.59E-02
ZNF248,1,8.39E-01,-7.19E-02
MIR4467///LRWD1,1,8.39E-01,3.62E-02
GSN,1,8.39E-01,2.39E-02
NTNG1,1,8.39E-01,1.48E-04
,1,8.39E-01,-2.56E-03
CSMD1,1,8.40E-01,1.48E-04
MTCH2,1,8.40E-01,4.57E-02
FOXO6,1,8.40E-01,-1.08E-01
TTC28-AS1,1,8.40E-01,3.78E-02
THADA,1,8.40E-01,2.06E-02
RPL29,1,8.40E-01,3.38E-02
TPCN2,1,8.40E-01,-1.77E-02
ATP6V0D2,1,8.40E-01,-4.07E-02
TDRD3,1,8.40E-01,-5.26E-02
SMARCA2,1,8.40E-01,4.35E-02
IFNAR1,1,8.40E-01,-5.31E-02
SRSF7,1,8.40E-01,4.61E-02
ZNF207,1,8.40E-01,-6.23E-02
RRBP1,1,8.40E-01,1.38E-04
AKAP4,1,8.40E-01,1.47E-04
F7,1,8.40E-01,-1.57E-02
,1,8.40E-01,1.47E-04
,1,8.40E-01,1.47E-04
AMBRA1,1,8.40E-01,1.73E-02
GK2,1,8.41E-01,2.77E-03
,1,8.41E-01,1.46E-04
CTDNEP1,1,8.41E-01,-2.68E-02
MAPK8IP1,1,8.41E-01,-6.95E-04
B3GNT2,1,8.41E-01,1.46E-04
ARL17B///ARL17A,1,8.41E-01,2.70E-03
KLHL36,1,8.41E-01,-6.01E-02
HTATSF1P2,1,8.41E-01,7.39E-02
PTCH1,1,8.41E-01,1.46E-04
TRAPPC11,1,8.41E-01,4.66E-03
UBAP2L,1,8.41E-01,3.76E-02
CFAP221,1,8.41E-01,1.54E-03
GPR132,1,8.41E-01,9.37E-03
UBLCP1,1,8.41E-01,-5.21E-02
SLC22A23,1,8.41E-01,1.96E-02
,1,8.41E-01,2.76E-03
INMT-FAM188B///FAM188B///INMT,1,8.41E-01,7.66E-03
,1,8.41E-01,-1.91E-02
SP3P,1,8.41E-01,1.46E-04
,1,8.41E-01,1.34E-04
PIK3R6,1,8.41E-01,-9.71E-03
ACE,1,8.41E-01,1.07E-02
ISL1,1,8.41E-01,5.59E-02
,1,8.41E-01,1.46E-04
LMNA,1,8.41E-01,6.52E-02
UTP20,1,8.41E-01,-4.77E-02
TES,1,8.41E-01,-6.73E-02
PPIF,1,8.41E-01,-1.18E-01
FBLN1,1,8.41E-01,1.07E-01
ARMCX4,1,8.42E-01,1.45E-04
HLA-F,1,8.42E-01,-7.11E-02
PIGP,1,8.42E-01,-4.68E-02
XRCC6,1,8.42E-01,2.77E-02
PEX19,1,8.42E-01,-6.41E-02
OPA1,1,8.42E-01,-4.74E-02
ATG4A,1,8.42E-01,3.49E-02
LOC100506113,1,8.42E-01,-3.11E-03
NPVF,1,8.42E-01,1.69E-03
CCDC97,1,8.42E-01,2.72E-02
FOLR2,1,8.42E-01,1.13E-02
,1,8.42E-01,1.45E-04
,1,8.42E-01,1.45E-04
P2RY8,1,8.42E-01,4.39E-02
PYGO1,1,8.42E-01,-1.14E-02
LOC100996919///CD8B,1,8.42E-01,5.68E-02
ADGRB2,1,8.42E-01,2.37E-02
ADGRV1,1,8.42E-01,1.45E-04
,1,8.42E-01,1.44E-04
CHMP1B,1,8.42E-01,-5.40E-02
,1,8.42E-01,4.65E-03
TSPAN32,1,8.42E-01,-4.42E-03
MKKS,1,8.42E-01,6.13E-02
LIG4,1,8.42E-01,-5.01E-02
GUCA1A,1,8.42E-01,-4.69E-03
ERGIC2,1,8.42E-01,-3.87E-02
MIR4723///TMEM199,1,8.42E-01,-3.45E-02
PBRM1,1,8.42E-01,-3.31E-02
NOL6,1,8.42E-01,-2.16E-02
,1,8.42E-01,-2.80E-02
LMF1,1,8.42E-01,1.44E-04
MROH8,1,8.42E-01,1.44E-04
EMC1,1,8.42E-01,3.91E-02
TGOLN2,1,8.42E-01,-3.41E-02
C12orf60,1,8.42E-01,1.49E-03
TKFC,1,8.43E-01,-6.62E-03
SENP3,1,8.43E-01,-5.55E-02
GNG4,1,8.43E-01,1.44E-04
ZBTB12,1,8.43E-01,8.64E-04
LOC729870,1,8.43E-01,1.36E-04
ADAMTSL2,1,8.43E-01,1.35E-04
SUV39H1,1,8.43E-01,4.98E-02
LINC00896,1,8.43E-01,-7.45E-03
TAPBP,1,8.43E-01,3.92E-02
NT5C3A,1,8.43E-01,-4.64E-02
,1,8.43E-01,5.72E-02
GRK3,1,8.43E-01,8.27E-02
MRPS18C,1,8.43E-01,4.65E-02
NUDT18,1,8.43E-01,-1.91E-02
TIFAB///DCANP1,1,8.43E-01,-2.66E-03
ALAS2,1,8.43E-01,1.44E-04
,1,8.43E-01,7.57E-04
MIR1292///SNORD110///SNORD86///SNORD57///NOP56,1,8.43E-01,-4.10E-02
DYRK3,1,8.43E-01,1.44E-04
TSSK1B,1,8.43E-01,3.62E-04
LOC100130175///BBIP1,1,8.43E-01,1.43E-04
PLAA,1,8.43E-01,-6.32E-02
FBLIM1,1,8.43E-01,-7.18E-03
ZCCHC10,1,8.43E-01,-5.91E-02
LOC728196,1,8.43E-01,1.36E-04
RBM15,1,8.43E-01,-6.60E-02
STX18,1,8.43E-01,-3.23E-02
,1,8.43E-01,-6.19E-04
C18orf21,1,8.43E-01,4.60E-02
TCTN3,1,8.43E-01,2.95E-02
,1,8.43E-01,-1.05E-02
DDAH1,1,8.43E-01,-1.22E-02
PCDHA9,1,8.43E-01,-3.17E-02
TOR1AIP1,1,8.43E-01,2.31E-02
SEC63,1,8.43E-01,-1.17E-03
EHMT2,1,8.43E-01,-5.22E-02
MTA3,1,8.44E-01,4.78E-02
UGT2B15,1,8.44E-01,8.25E-02
SPPL2A,1,8.44E-01,4.39E-02
TLR7,1,8.44E-01,-5.76E-03
YARS2,1,8.44E-01,3.02E-02
FAM41AY2///FAM41AY1,1,8.44E-01,1.96E-04
,1,8.44E-01,-2.37E-02
PLD3,1,8.44E-01,-6.25E-02
SLC17A5,1,8.44E-01,-7.37E-02
ADPRHL1,1,8.44E-01,2.92E-02
SNORD8,1,8.44E-01,5.51E-03
ARHGEF7,1,8.44E-01,-1.28E-03
,1,8.44E-01,1.01E-03
,1,8.44E-01,9.03E-03
,1,8.44E-01,-6.92E-04
,1,8.44E-01,-6.39E-03
AVPR1B,1,8.44E-01,4.74E-03
TMEM132D,1,8.44E-01,-1.06E-03
PAX5,1,8.44E-01,-7.22E-02
LOC389895,1,8.44E-01,1.42E-04
CAND1,1,8.44E-01,6.34E-02
NEDD4,1,8.44E-01,-5.21E-02
ARIH2,1,8.44E-01,-3.75E-02
ASXL2,1,8.45E-01,2.57E-02
FBXL4,1,8.45E-01,-5.39E-02
TSPOAP1-AS1,1,8.45E-01,2.57E-02
SPATA21,1,8.45E-01,-1.09E-02
CAPN10,1,8.45E-01,1.42E-04
B4GALT3,1,8.45E-01,-5.78E-02
FNDC3A,1,8.45E-01,9.41E-03
CPEB4,1,8.45E-01,-2.06E-02
MIEF1,1,8.45E-01,-3.74E-02
MMP10,1,8.45E-01,1.80E-01
DNAJC15,1,8.45E-01,1.16E-01
C7orf31,1,8.45E-01,-4.32E-02
PCAT19,1,8.45E-01,-1.12E-02
POLR2C,1,8.45E-01,4.90E-02
,1,8.45E-01,-2.62E-03
GRSF1,1,8.45E-01,-3.25E-02
,1,8.45E-01,-1.82E-02
BBIP1,1,8.45E-01,-1.45E-03
,1,8.46E-01,1.68E-02
DDHD1,1,8.46E-01,6.31E-02
RHBDL2,1,8.46E-01,-2.02E-02
,1,8.46E-01,1.77E-02
CLN6,1,8.46E-01,-3.07E-02
MRPS22,1,8.46E-01,2.95E-02
ZBTB11,1,8.46E-01,-2.67E-03
NUP133,1,8.46E-01,1.72E-02
WIPI2,1,8.46E-01,-9.26E-03
ADORA3,1,8.46E-01,-2.92E-02
BTBD1,1,8.46E-01,2.94E-02
TRAM1,1,8.46E-01,2.79E-02
,1,8.46E-01,-8.43E-03
MEN1,1,8.46E-01,-5.98E-02
LOC100130502,1,8.46E-01,-1.39E-02
,1,8.46E-01,-3.43E-03
PFKFB1,1,8.46E-01,6.74E-04
TRAIP,1,8.46E-01,-1.85E-02
MAATS1,1,8.46E-01,1.30E-02
HLA-DOA,1,8.46E-01,8.88E-03
,1,8.46E-01,-3.05E-02
AFDN,1,8.46E-01,-5.54E-03
GMFG,1,8.46E-01,-8.88E-02
CCR10,1,8.46E-01,-5.93E-03
MAP3K9,1,8.46E-01,-4.49E-02
CCDC15,1,8.46E-01,-3.01E-02
C8orf44-SGK3///SGK3,1,8.46E-01,1.06E-01
MLXIP,1,8.46E-01,6.30E-02
CCDC68,1,8.46E-01,-6.79E-02
CPM,1,8.46E-01,-9.22E-02
EMC6,1,8.46E-01,3.79E-02
GRIA1,1,8.47E-01,5.79E-03
ZC3H15,1,8.47E-01,-4.34E-02
CYB5R1,1,8.47E-01,-7.84E-02
KRTAP7-1,1,8.47E-01,4.97E-03
CHRNE,1,8.47E-01,1.39E-04
DTNBP1,1,8.47E-01,-3.46E-02
LOC101928152,1,8.47E-01,-3.45E-02
DEFB105B///DEFB105A,1,8.47E-01,-1.10E-02
INO80B-WBP1///INO80B,1,8.47E-01,-1.88E-02
,1,8.47E-01,1.03E-02
FAM134B,1,8.47E-01,-3.20E-02
CPS1,1,8.47E-01,3.71E-02
,1,8.47E-01,4.96E-03
PDCD2L,1,8.47E-01,-5.53E-02
C10orf126,1,8.47E-01,1.39E-04
ALDH3B2,1,8.47E-01,-1.38E-01
SLC29A4,1,8.47E-01,-7.64E-03
SYT4,1,8.47E-01,-2.75E-02
,1,8.47E-01,1.39E-04
UBE3B,1,8.47E-01,9.08E-02
C1GALT1C1,1,8.47E-01,7.29E-03
MIR3656///TRAPPC4,1,8.47E-01,-3.79E-02
SPATS2,1,8.47E-01,-1.22E-02
SERTAD4,1,8.47E-01,3.93E-02
DENND2A,1,8.47E-01,5.57E-02
TCTN1,1,8.47E-01,4.51E-02
,1,8.47E-01,3.51E-02
SLC13A2,1,8.47E-01,5.95E-03
LINC01122,1,8.47E-01,-1.25E-04
REXO1,1,8.47E-01,3.99E-02
ZNF654,1,8.47E-01,5.21E-02
SLIT1,1,8.47E-01,-6.29E-03
FXN,1,8.48E-01,4.36E-03
ANKS6,1,8.48E-01,4.05E-02
ZNF506,1,8.48E-01,-8.28E-02
PTPRK,1,8.48E-01,5.21E-02
LOC102724162,1,8.48E-01,1.38E-04
ZNF311,1,8.48E-01,-3.74E-02
MYO9B,1,8.48E-01,8.73E-03
PRODH2,1,8.48E-01,-1.36E-02
,1,8.48E-01,1.10E-02
LEPR,1,8.48E-01,-6.01E-03
SEMA3E,1,8.48E-01,-3.03E-02
,1,8.48E-01,1.38E-04
LOC101930171///LOC101930165///LOC101929858///LOC101060464///TCEB3CL2///TCEB3CL///TCEB3C,1,8.48E-01,-1.16E-02
RPL12,1,8.48E-01,2.04E-02
ZNF529,1,8.48E-01,1.38E-04
ZNF29P,1,8.48E-01,1.38E-04
ESR1,1,8.48E-01,7.08E-04
ACRBP,1,8.48E-01,1.38E-04
FPGS,1,8.48E-01,-3.22E-02
APOA1,1,8.48E-01,8.86E-03
NIFK-AS1,1,8.48E-01,-8.02E-03
SENP6,1,8.48E-01,-4.60E-02
TALDO1,1,8.48E-01,3.87E-02
,1,8.48E-01,3.00E-02
PPOX,1,8.48E-01,4.61E-02
LOC101928618,1,8.48E-01,1.37E-04
CLU,1,8.48E-01,2.47E-02
,1,8.48E-01,-4.38E-03
ADAMTS13,1,8.48E-01,-1.09E-02
SCD,1,8.49E-01,-6.52E-02
PPP1R1A,1,8.49E-01,1.17E-02
PDIA3,1,8.49E-01,4.97E-02
COX7B,1,8.49E-01,3.31E-02
,1,8.49E-01,4.80E-03
LINC00899,1,8.49E-01,-4.22E-02
PRB1,1,8.49E-01,-2.13E-02
,1,8.49E-01,1.37E-04
LINC01563,1,8.49E-01,1.37E-04
,1,8.49E-01,2.03E-04
ANKRD23///ANKRD39,1,8.49E-01,-7.72E-03
MTF2,1,8.49E-01,-5.52E-02
MKL1,1,8.49E-01,1.21E-02
DLX4,1,8.49E-01,-3.54E-02
,1,8.49E-01,-9.70E-02
SP2-AS1,1,8.49E-01,3.66E-02
LOC100422737,1,8.49E-01,1.42E-02
,1,8.49E-01,1.31E-04
INPP5D,1,8.49E-01,-1.18E-02
FAM150B,1,8.49E-01,5.86E-02
ZNF500,1,8.49E-01,2.77E-02
STMN2,1,8.49E-01,5.86E-02
,1,8.49E-01,-6.59E-03
KRT82,1,8.49E-01,-1.44E-02
CD40,1,8.49E-01,5.96E-02
LOC101929683,1,8.49E-01,-1.61E-02
C9orf131,1,8.49E-01,8.29E-03
CCDC69,1,8.49E-01,-6.53E-02
,1,8.49E-01,-2.18E-02
ADGRG3,1,8.49E-01,1.37E-04
,1,8.49E-01,1.62E-02
,1,8.49E-01,1.30E-02
CHRNA10,1,8.49E-01,1.37E-04
GTF2F1,1,8.49E-01,4.88E-02
MLH3,1,8.49E-01,-7.71E-03
CYP8B1,1,8.49E-01,1.36E-04
NOS1,1,8.49E-01,1.36E-04
CAPZA3,1,8.49E-01,1.36E-04
LOC149401,1,8.49E-01,-3.96E-02
,1,8.49E-01,-6.10E-02
DIS3L2,1,8.49E-01,-2.36E-02
PRR15L,1,8.49E-01,8.87E-02
UGT2B28,1,8.49E-01,4.90E-02
HCFC1,1,8.49E-01,1.88E-02
FZR1,1,8.50E-01,-1.18E-02
CHN2,1,8.50E-01,8.53E-03
INPP5B,1,8.50E-01,-1.23E-04
EPOR,1,8.50E-01,-5.62E-02
ATP5F1,1,8.50E-01,3.34E-02
PINLYP,1,8.50E-01,-4.12E-02
,1,8.50E-01,1.17E-02
EXTL2,1,8.50E-01,6.68E-02
,1,8.50E-01,-2.14E-02
PEPD,1,8.50E-01,-3.51E-02
GLIS3-AS1,1,8.50E-01,-1.23E-04
ASAP3,1,8.50E-01,2.81E-02
SNORA68///RPL18A,1,8.50E-01,4.38E-03
STPG2,1,8.50E-01,1.35E-04
LGR4,1,8.50E-01,8.31E-02
NUDT3,1,8.50E-01,-1.02E-03
,1,8.50E-01,1.35E-04
APOBEC3F///APOBEC3G,1,8.50E-01,-1.05E-01
TMEM170A,1,8.50E-01,1.31E-02
,1,8.50E-01,8.16E-04
ZFAND5,1,8.50E-01,8.48E-03
RPS4Y1,1,8.50E-01,2.28E-01
NAV1,1,8.50E-01,-3.20E-03
ANHX,1,8.50E-01,1.35E-04
RHOB,1,8.50E-01,-8.85E-02
FGD2,1,8.50E-01,-9.24E-02
MAPK14,1,8.51E-01,1.97E-02
GPR89B,1,8.51E-01,-2.51E-02
,1,8.51E-01,-1.22E-04
CHURC1-FNTB///FNTB,1,8.51E-01,-2.11E-02
SIPA1L2,1,8.51E-01,2.32E-03
ZFP90,1,8.51E-01,-6.43E-02
MIR670HG,1,8.51E-01,-1.53E-02
NES,1,8.51E-01,-9.81E-03
C16orf78,1,8.51E-01,-1.20E-02
RNF141,1,8.51E-01,6.24E-02
LIF,1,8.51E-01,6.44E-02
,1,8.51E-01,3.72E-03
GNG3,1,8.51E-01,-4.23E-04
,1,8.51E-01,1.72E-02
ZNF865,1,8.51E-01,1.46E-02
ZNF207,1,8.51E-01,2.13E-02
FOXN3,1,8.51E-01,-4.11E-02
CHPF2,1,8.51E-01,-3.93E-02
RAP1GDS1,1,8.51E-01,6.62E-02
EEF1E1-BLOC1S5///BLOC1S5,1,8.51E-01,-3.79E-02
LUZP1,1,8.51E-01,1.34E-04
FAM84B,1,8.51E-01,2.13E-02
,1,8.51E-01,9.81E-03
TMEM134,1,8.51E-01,1.34E-04
XCL2///XCL1,1,8.51E-01,-9.53E-02
SLC7A8,1,8.51E-01,8.53E-02
PREPL,1,8.51E-01,-3.74E-02
SSB,1,8.51E-01,2.90E-02
MYO3A,1,8.51E-01,1.11E-02
LOC101927377,1,8.51E-01,1.34E-04
TTLL7,1,8.52E-01,4.51E-02
,1,8.52E-01,1.06E-02
,1,8.52E-01,-4.22E-02
SBNO1,1,8.52E-01,3.13E-02
DYX1C1-CCPG1///CCPG1,1,8.52E-01,-7.04E-02
FANCD2,1,8.52E-01,8.03E-03
DLG4,1,8.52E-01,1.33E-04
PIRT,1,8.52E-01,-1.21E-04
,1,8.52E-01,-4.10E-03
RIF1,1,8.52E-01,2.78E-02
NSFL1C,1,8.52E-01,-3.54E-02
SLC25A13,1,8.52E-01,-1.00E-02
NFATC3,1,8.52E-01,-3.38E-02
C5orf24,1,8.52E-01,4.00E-02
,1,8.52E-01,1.33E-04
AGL,1,8.52E-01,4.25E-02
TROVE2,1,8.52E-01,3.70E-03
,1,8.52E-01,-2.38E-02
,1,8.52E-01,-5.88E-02
GUCY2F,1,8.52E-01,1.33E-04
TMEM254,1,8.52E-01,4.41E-02
SMPDL3A,1,8.52E-01,-8.68E-02
NDUFAF4,1,8.52E-01,-5.47E-02
EIF1AY,1,8.52E-01,1.97E-01
LOC100506446,1,8.52E-01,1.33E-04
RYK,1,8.53E-01,2.97E-02
HAND2-AS1,1,8.53E-01,9.26E-03
LINC00639,1,8.53E-01,1.33E-04
TRMT10A,1,8.53E-01,1.64E-02
,1,8.53E-01,4.43E-03
NSUN6,1,8.53E-01,2.21E-02
HDGFRP3,1,8.53E-01,-5.86E-02
RBM48,1,8.53E-01,3.11E-02
UPB1,1,8.53E-01,-1.11E-02
IGF2BP2-AS1,1,8.53E-01,1.32E-04
HDLBP,1,8.53E-01,1.32E-04
RAB3GAP2///AURKAPS1,1,8.53E-01,-2.75E-02
EIF3E,1,8.53E-01,-3.56E-02
MAMLD1,1,8.53E-01,2.11E-02
TMEM110-MUSTN1///TMEM110,1,8.53E-01,8.92E-03
RSBN1L,1,8.53E-01,-4.11E-02
CCDC172,1,8.53E-01,-1.51E-03
LAT,1,8.53E-01,5.78E-02
LATS2,1,8.53E-01,3.76E-02
RPF2,1,8.53E-01,4.52E-02
TRIM5,1,8.53E-01,2.09E-03
LHX9,1,8.53E-01,1.32E-04
EGFR,1,8.53E-01,8.41E-03
LDB2,1,8.53E-01,6.58E-02
EPB41,1,8.53E-01,1.28E-02
,1,8.53E-01,1.39E-02
,1,8.53E-01,4.88E-03
UBTF,1,8.53E-01,-5.51E-02
HERC4,1,8.53E-01,-6.24E-02
,1,8.53E-01,1.32E-04
,1,8.53E-01,1.32E-04
KDM4B,1,8.53E-01,1.32E-04
FLVCR2,1,8.53E-01,8.70E-03
ARL15,1,8.53E-01,-4.37E-02
TRPC5,1,8.53E-01,1.28E-04
LOC101930241///ARHGEF4,1,8.53E-01,6.58E-02
PCGEM1,1,8.53E-01,1.32E-04
CLSPN,1,8.53E-01,-1.20E-04
WNT2B,1,8.53E-01,2.11E-02
ORAOV1,1,8.54E-01,-6.33E-02
SLC28A1,1,8.54E-01,-1.25E-02
CHN2,1,8.54E-01,-1.06E-01
KIF20B,1,8.54E-01,1.32E-04
SRSF1,1,8.54E-01,-5.08E-02
CPNE7,1,8.54E-01,1.06E-02
WDR89,1,8.54E-01,-1.82E-02
,1,8.54E-01,1.31E-04
LOC101928457,1,8.54E-01,1.31E-04
,1,8.54E-01,3.00E-02
SEC14L1,1,8.54E-01,-4.04E-02
MRPS9,1,8.54E-01,-3.87E-02
SNX21,1,8.54E-01,2.00E-02
,1,8.54E-01,-7.64E-04
,1,8.54E-01,-2.71E-02
ACTR3,1,8.54E-01,-7.94E-03
,1,8.54E-01,1.31E-04
RAB3GAP1,1,8.54E-01,4.00E-02
NDOR1,1,8.54E-01,1.24E-04
DCAF5,1,8.54E-01,8.82E-03
FRAS1,1,8.54E-01,1.37E-01
CECR2,1,8.54E-01,-5.92E-03
VGLL4,1,8.54E-01,3.23E-02
LOC101928937,1,8.54E-01,1.31E-04
LGALS3,1,8.54E-01,3.76E-02
IDE,1,8.54E-01,5.74E-02
,1,8.54E-01,-4.40E-02
RPL34-AS1,1,8.54E-01,1.31E-04
NXF3,1,8.54E-01,1.31E-04
PLIN5,1,8.54E-01,-1.76E-02
GBF1,1,8.55E-01,-2.30E-02
,1,8.55E-01,2.21E-02
C2orf88,1,8.55E-01,-2.51E-02
LOC101928269///LOC100506403///RUNX1,1,8.55E-01,1.30E-04
DGKE,1,8.55E-01,1.26E-04
NTN5,1,8.55E-01,-3.91E-02
S100A14,1,8.55E-01,1.47E-01
NASP,1,8.55E-01,3.61E-02
ING3,1,8.55E-01,-6.50E-02
HMCES,1,8.55E-01,-4.13E-02
NDOR1,1,8.55E-01,-1.57E-02
HERPUD1,1,8.55E-01,4.28E-02
